from,to,Red,type,Specie,weight
23,22,Gestao,Joint Species Protection Program,Both,8
23,22,Gestao,Participation in Forums or Working Groups,Both,8
23,63,Gestao,Fisheries Legislation (if there is legislation regulating fishing jointly with other MPAs),Both,5
23,63,Gestao,Joint Inspection Program,Both,8
23,22,Gestao,Joint Inspection Program,Both,9
23,63,Gestao,Database Sharing (any type of data),Both,7
23,22,Gestao,Database Sharing (any type of data),Both,7
23,22,Gestao,Participation in Conflict Resolution,Both,8
24,68,Gestao,Vehicle (land or water),Both,6
24,68,Gestao,Team,Both,7
24,68,Gestao,Equipments,Both,6
24,68,Gestao,Other social medias groups,Both,8
24,68,Gestao,WhatsApp Group,Both,9
24,68,Gestao,Formal Training ,Both,4
24,68,Gestao,Previous Professional Training (conducted before taking office),Both,9
24,68,Gestao,Environmental Education Programs,Both,5
24,68,Gestao,Research Program,Both,4
24,68,Gestao,Joint Species Protection Program,Both,7
24,68,Gestao,Joint Publications (brochures- booklets- books- official reports- investigations- manuals- others),Both,8
24,68,Gestao,Collective External Funding Sources (international fund- NGO- ),Both,6
24,68,Gestao,Financial Resources per Specific Legislation (entrance fees- payment for environmental services- others),Both,3
24,68,Gestao,Participation in Management Councils,Both,5
24,68,Gestao,Participation in Forums or Working Groups,Both,7
24,68,Gestao,NGO Support for Management (same NGO),Both,6
24,68,Gestao,Fisheries Legislation (if there is legislation regulating fishing jointly with other MPAs),Both,3
24,68,Gestao,Joint Inspection Program,Both,3
24,68,Gestao,Database Sharing (any type of data),Both,9
24,68,Gestao,Participation in Conflict Resolution,Both,7
3,5,Biologico,Ecological studies,Of,9
3,5,Biologico,Morpho-physiological studies,Of,9
3,5,Biologico,Stranding monitoring ,Of,9
3,37,Biologico,Ecological studies,Of,9
3,37,Biologico,Morpho-physiological studies,Of,9
3,37,Biologico,Stranding monitoring ,Of,9
3,38,Biologico,Ecological studies,Of,9
3,38,Biologico,Morpho-physiological studies,Of,9
3,38,Biologico,Stranding monitoring ,Of,9
3,4,Biologico,Ecological studies,Of,9
3,4,Biologico,Morpho-physiological studies,Of,9
3,4,Biologico,Stranding monitoring ,Of,9
5,3,Biologico,Ecological studies,Of,9
5,3,Biologico,Morpho-physiological studies,Of,9
5,3,Biologico,Stranding monitoring ,Of,9
5,37,Biologico,Ecological studies,Of,9
5,37,Biologico,Morpho-physiological studies,Of,9
5,37,Biologico,Stranding monitoring ,Of,9
5,38,Biologico,Ecological studies,Of,9
5,38,Biologico,Morpho-physiological studies,Of,9
5,38,Biologico,Stranding monitoring ,Of,9
5,4,Biologico,Ecological studies,Of,9
5,4,Biologico,Morpho-physiological studies,Of,9
5,4,Biologico,Stranding monitoring ,Of,9
10,9,Biologico,Ecological studies,Of,9
10,11,Biologico,Ecological studies,Of,9
10,12,Biologico,Ecological studies,Of,9
10,61,Biologico,Ecological studies,Of,9
10,62,Biologico,Ecological studies,Of,9
10,9,Biologico,Stranding monitoring ,Of,7
10,11,Biologico,Stranding monitoring ,Of,7
10,12,Biologico,Stranding monitoring ,Of,7
10,61,Biologico,Stranding monitoring ,Of,7
10,62,Biologico,Stranding monitoring ,Of,7
22,23,Biologico,Ecological studies,Of,9
22,63,Biologico,Ecological studies,Of,9
22,64,Biologico,Ecological studies,Of,9
22,65,Biologico,Ecological studies,Of,9
23,22,Biologico,Genetic studies ,Of,6
23,22,Biologico,Studies on conflicts with human activities,Of,7
14,15,Biologico,Genetic studies ,Of,8
14,16,Biologico,Genetic studies ,Of,8
15,16,Biologico,Genetic studies ,Of,9
15,14,Biologico,Genetic studies ,Of,9
16,15,Biologico,Genetic studies ,Of,8
16,14,Biologico,Genetic studies ,Of,8
18,66,Biologico,Behavioral studies ,Of,7
18,66,Biologico,Ecological studies,Of,7
18,66,Biologico,Morpho-physiological studies,Of,7
18,66,Biologico,Stranding monitoring ,Of,8
21,66,Biologico,Genetic studies ,Of,7
21,66,Biologico,Behavioral studies ,Of,7
21,66,Biologico,Stranding monitoring ,Of,7
19,14,Biologico,Genetic studies ,Of,5
19,67,Biologico,Ecological studies,Of,5
19,70,Biologico,Ecological studies,Of,6
20,14,Biologico,Genetic studies ,Of,5
20,67,Biologico,Ecological studies,Of,5
20,70,Biologico,Ecological studies,Of,6
